10010101010010011111100001111100	64	LDUR X9, [XZR, #124]
10010101010010101111100010000000	68	LDUR X10, [XZR, #128]
10010101010010111111100010000100	72	LDUR X11, [XZR, #132]
10010101010011000100100000000000	76	LDUR X12, [X9, #0]
10010101010011010101000000000000	80	LDUR X13, [X10, #0]
00110000011010000000000000000011	84	CBZ X13, #3
10010101010011101111100010011000	88	LDUR X14, [XZR, #152]
01110100111011000110001110000000	92	LSL X12, X12, X14
01110100010011110110001101000000	96	ADD X15, X12, X13
10010101011011110100100000000000	100	STUR X15, [X9, #0]
01010000100100101001000000000100	104	ADDI X9, X9, #4
01010000100101001010000000000100	108	ADDI X10, X10, #4
01010000110101101011000000000001	112	SUBI X11, X11, #1
00110001010111111111111111110110	116	CBNZ X11, #-10
10100000000000000000000000000000	120	DUMMY
00000000000000000000000010001000	124	136
00000000000000000000000010011100	128	156
00000000000000000000000000000100	132	4
00000000000000000000000000000001	136	1
00000000000000000000000000000010	140	2
00000000000000000000000000000010	144	2
00000000000000000000000000000100	148	4
00000000000000000000000000000010	152	2
11111111111111111111111111111000	156	-8
00000000000000000000000000000000	160	0
11111111111111111111111111110110	164	-10
00000000000000000000000000000000	168	0
